t,cat,level,x,y,n
tt0944947,Sex & Nudity,Severe,"7,645","8,721",7645
tt0944947,Violence & Gore,Severe,"4,106","4,471",4106
tt0944947,Profanity,Severe,"3,459","4,128",3459
tt0944947,"Alcohol, Drugs & Smoking",Moderate,"1,769","4,708",1769
tt0944947,Frightening & Intense Scenes,Severe,"3,163","3,889",3163
tt8772296,Sex & Nudity,Severe,"2,240","2,528",2240
tt8772296,Violence & Gore,Moderate,559,"1,318",559
tt8772296,Profanity,Severe,"1,101","1,233",1101
tt8772296,"Alcohol, Drugs & Smoking",Severe,"1,163","1,248",1163
tt8772296,Frightening & Intense Scenes,Severe,788,"1,153",788
tt7767422,Sex & Nudity,Severe,"2,014","2,588",2014
tt7767422,Violence & Gore,Mild,765,"1,053",765
tt7767422,Profanity,Severe,807,"1,134",807
tt7767422,"Alcohol, Drugs & Smoking",Moderate,594,975,594
tt7767422,Frightening & Intense Scenes,Mild,547,903,547
tt1190634,Sex & Nudity,Severe,"1,922","2,665",1922
tt1190634,Violence & Gore,Severe,"1,564","1,680",1564
tt1190634,Profanity,Severe,"1,395","1,573",1395
tt1190634,"Alcohol, Drugs & Smoking",Moderate,647,"1,712",647
tt1190634,Frightening & Intense Scenes,Severe,945,"1,404",945
tt5180504,Sex & Nudity,Severe,"1,338","2,026",1338
tt5180504,Violence & Gore,Severe,798,982,798
tt5180504,Profanity,Moderate,499,940,499
tt5180504,"Alcohol, Drugs & Smoking",Mild,607,880,607
tt5180504,Frightening & Intense Scenes,Moderate,423,862,423
tt2442560,Sex & Nudity,Severe,"1,193","1,751",1193
tt2442560,Violence & Gore,Severe,719,895,719
tt2442560,Profanity,Severe,715,893,715
tt2442560,"Alcohol, Drugs & Smoking",Severe,759,869,759
tt2442560,Frightening & Intense Scenes,Severe,486,917,486
tt11198330,Sex & Nudity,Severe,"1,130","1,660",1130
tt11198330,Violence & Gore,Severe,676,784,676
tt11198330,Profanity,Severe,403,656,403
tt11198330,"Alcohol, Drugs & Smoking",Mild,380,695,380
tt11198330,Frightening & Intense Scenes,Severe,461,663,461
tt1586680,Sex & Nudity,Severe,966,"1,174",966
tt1586680,Violence & Gore,Moderate,273,508,273
tt1586680,Profanity,Severe,464,521,464
tt1586680,"Alcohol, Drugs & Smoking",Severe,426,464,426
tt1586680,Frightening & Intense Scenes,Moderate,206,433,206
tt2306299,Sex & Nudity,Severe,852,"1,433",852
tt2306299,Violence & Gore,Severe,499,588,499
tt2306299,Profanity,Mild,279,457,279
tt2306299,"Alcohol, Drugs & Smoking",Mild,236,460,236
tt2306299,Frightening & Intense Scenes,Severe,293,425,293
tt1442449,Sex & Nudity,Severe,809,917,809
tt1442449,Violence & Gore,Severe,279,299,279
tt1442449,Profanity,Severe,225,263,225
tt1442449,"Alcohol, Drugs & Smoking",Moderate,121,260,121
tt1442449,Frightening & Intense Scenes,Severe,214,257,214
tt9561862,Sex & Nudity,Severe,688,891,688
tt9561862,Violence & Gore,Severe,468,522,468
tt9561862,Profanity,Severe,355,449,355
tt9561862,"Alcohol, Drugs & Smoking",Moderate,226,416,226
tt9561862,Frightening & Intense Scenes,Severe,247,444,247
tt0475784,Sex & Nudity,Severe,669,931,669
tt0475784,Violence & Gore,Severe,261,315,261
tt0475784,Profanity,Severe,180,279,180
tt0475784,"Alcohol, Drugs & Smoking",Moderate,150,284,150
tt0475784,Frightening & Intense Scenes,Moderate,138,280,138
tt3006802,Sex & Nudity,Severe,618,778,618
tt3006802,Violence & Gore,Severe,262,335,262
tt3006802,Profanity,Moderate,132,262,132
tt3006802,"Alcohol, Drugs & Smoking",Mild,168,267,168
tt3006802,Frightening & Intense Scenes,Moderate,131,292,131
tt2017109,Sex & Nudity,Severe,531,648,531
tt2017109,Violence & Gore,Severe,209,240,209
tt2017109,Profanity,Severe,142,198,142
tt2017109,"Alcohol, Drugs & Smoking",Moderate,96,206,96
tt2017109,Frightening & Intense Scenes,Severe,139,199,139
tt2372162,Sex & Nudity,Severe,517,618,517
tt2372162,Violence & Gore,Moderate,152,263,152
tt2372162,Profanity,Severe,229,264,229
tt2372162,"Alcohol, Drugs & Smoking",Moderate,107,245,107
tt2372162,Frightening & Intense Scenes,Moderate,92,234,92
tt13406094,Sex & Nudity,Severe,508,963,508
tt13406094,Violence & Gore,Mild,145,241,145
tt13406094,Profanity,Moderate,141,288,141
tt13406094,"Alcohol, Drugs & Smoking",Severe,191,296,191
tt13406094,Frightening & Intense Scenes,None,145,248,145
tt5834204,Sex & Nudity,Severe,503,831,503
tt5834204,Violence & Gore,Severe,304,408,304
tt5834204,Profanity,Moderate,184,374,184
tt5834204,"Alcohol, Drugs & Smoking",Mild,262,329,262
tt5834204,Frightening & Intense Scenes,Severe,281,372,281
tt1844624,Sex & Nudity,Severe,483,673,483
tt1844624,Violence & Gore,Severe,315,340,315
tt1844624,Profanity,Severe,242,331,242
tt1844624,"Alcohol, Drugs & Smoking",Severe,200,299,200
tt1844624,Frightening & Intense Scenes,Severe,287,343,287
tt0141842,Sex & Nudity,Severe,480,742,480
tt0141842,Violence & Gore,Severe,288,347,288
tt0141842,Profanity,Severe,301,341,301
tt0141842,"Alcohol, Drugs & Smoking",Severe,247,305,247
tt0141842,Frightening & Intense Scenes,Severe,213,317,213
tt13146488,Sex & Nudity,Severe,476,779,476
tt13146488,Violence & Gore,Severe,282,337,282
tt13146488,Profanity,Severe,298,343,298
tt13146488,"Alcohol, Drugs & Smoking",Moderate,140,349,140
tt13146488,Frightening & Intense Scenes,Severe,180,307,180
tt0121955,Sex & Nudity,Severe,425,561,425
tt0121955,Violence & Gore,Severe,363,497,363
tt0121955,Profanity,Severe,457,518,457
tt0121955,"Alcohol, Drugs & Smoking",Severe,281,455,281
tt0121955,Frightening & Intense Scenes,Severe,263,507,263
tt2085059,Sex & Nudity,Severe,422,767,422
tt2085059,Violence & Gore,Severe,191,325,191
tt2085059,Profanity,Severe,235,332,235
tt2085059,"Alcohol, Drugs & Smoking",Mild,170,296,170
tt2085059,Frightening & Intense Scenes,Severe,261,320,261
tt6524350,Sex & Nudity,Severe,402,480,402
tt6524350,Violence & Gore,Mild,158,305,158
tt6524350,Profanity,Severe,267,318,267
tt6524350,"Alcohol, Drugs & Smoking",Mild,127,275,127
tt6524350,Frightening & Intense Scenes,None,149,274,149
tt2230051,Sex & Nudity,Severe,388,492,388
tt2230051,Violence & Gore,Moderate,78,166,78
tt2230051,Profanity,Moderate,60,152,60
tt2230051,"Alcohol, Drugs & Smoking",None,111,154,111
tt2230051,Frightening & Intense Scenes,Moderate,55,137,55
tt2707408,Sex & Nudity,Severe,382,517,382
tt2707408,Violence & Gore,Severe,207,234,207
tt2707408,Profanity,Severe,190,234,190
tt2707408,"Alcohol, Drugs & Smoking",Severe,191,220,191
tt2707408,Frightening & Intense Scenes,Severe,168,215,168
tt2261227,Sex & Nudity,Severe,369,503,369
tt2261227,Violence & Gore,Severe,170,203,170
tt2261227,Profanity,Moderate,81,171,81
tt2261227,"Alcohol, Drugs & Smoking",Moderate,88,168,88
tt2261227,Frightening & Intense Scenes,Moderate,81,172,81
tt2356777,Sex & Nudity,Severe,367,517,367
tt2356777,Violence & Gore,Severe,149,196,149
tt2356777,Profanity,Severe,154,192,154
tt2356777,"Alcohol, Drugs & Smoking",Severe,148,197,148
tt2356777,Frightening & Intense Scenes,Severe,161,207,161
tt0844441,Sex & Nudity,Severe,360,434,360
tt0844441,Violence & Gore,Severe,193,217,193
